epoch: 0, Seg_Loss: 0.652, Overall_Acc: 0.620, Mean_IOU: 0.314, Class_0: 0.762, Class_1: 0.019 
epoch: 1, Seg_Loss: 0.594, Overall_Acc: 0.768, Mean_IOU: 0.391, Class_0: 0.867, Class_1: 0.029 
epoch: 2, Seg_Loss: 0.576, Overall_Acc: 0.785, Mean_IOU: 0.401, Class_0: 0.878, Class_1: 0.033 
epoch: 3, Seg_Loss: 0.551, Overall_Acc: 0.841, Mean_IOU: 0.431, Class_0: 0.913, Class_1: 0.042 
epoch: 4, Seg_Loss: 0.540, Overall_Acc: 0.856, Mean_IOU: 0.439, Class_0: 0.921, Class_1: 0.046 
epoch: 5, Seg_Loss: 0.530, Overall_Acc: 0.867, Mean_IOU: 0.447, Class_0: 0.928, Class_1: 0.051 
epoch: 6, Seg_Loss: 0.519, Overall_Acc: 0.889, Mean_IOU: 0.459, Class_0: 0.941, Class_1: 0.059 
epoch: 7, Seg_Loss: 0.506, Overall_Acc: 0.912, Mean_IOU: 0.474, Class_0: 0.953, Class_1: 0.071 
epoch: 8, Seg_Loss: 0.495, Overall_Acc: 0.931, Mean_IOU: 0.488, Class_0: 0.964, Class_1: 0.087 
epoch: 9, Seg_Loss: 0.479, Overall_Acc: 0.956, Mean_IOU: 0.509, Class_0: 0.977, Class_1: 0.117 
epoch: 10, Seg_Loss: 0.481, Overall_Acc: 0.943, Mean_IOU: 0.498, Class_0: 0.970, Class_1: 0.105 
epoch: 11, Seg_Loss: 0.462, Overall_Acc: 0.966, Mean_IOU: 0.521, Class_0: 0.983, Class_1: 0.143 
epoch: 12, Seg_Loss: 0.461, Overall_Acc: 0.960, Mean_IOU: 0.517, Class_0: 0.980, Class_1: 0.140 
epoch: 13, Seg_Loss: 0.445, Overall_Acc: 0.980, Mean_IOU: 0.538, Class_0: 0.990, Class_1: 0.171 
epoch: 14, Seg_Loss: 0.456, Overall_Acc: 0.956, Mean_IOU: 0.513, Class_0: 0.977, Class_1: 0.134 
epoch: 15, Seg_Loss: 0.474, Overall_Acc: 0.996, Mean_IOU: 0.525, Class_0: 0.998, Class_1: 0.076 
epoch: 16, Seg_Loss: 0.389, Overall_Acc: 0.989, Mean_IOU: 0.578, Class_0: 0.995, Class_1: 0.286 
epoch: 17, Seg_Loss: 0.408, Overall_Acc: 0.983, Mean_IOU: 0.555, Class_0: 0.991, Class_1: 0.230 
epoch: 18, Seg_Loss: 0.358, Overall_Acc: 0.993, Mean_IOU: 0.602, Class_0: 0.997, Class_1: 0.338 
epoch: 19, Seg_Loss: 0.345, Overall_Acc: 0.994, Mean_IOU: 0.613, Class_0: 0.997, Class_1: 0.363 
epoch: 20, Seg_Loss: 0.385, Overall_Acc: 0.986, Mean_IOU: 0.567, Class_0: 0.993, Class_1: 0.256 
epoch: 21, Seg_Loss: 0.368, Overall_Acc: 0.986, Mean_IOU: 0.580, Class_0: 0.993, Class_1: 0.290 
epoch: 22, Seg_Loss: 0.319, Overall_Acc: 0.994, Mean_IOU: 0.625, Class_0: 0.997, Class_1: 0.393 
epoch: 23, Seg_Loss: 0.317, Overall_Acc: 0.995, Mean_IOU: 0.622, Class_0: 0.997, Class_1: 0.392 
epoch: 24, Seg_Loss: 0.330, Overall_Acc: 0.994, Mean_IOU: 0.612, Class_0: 0.997, Class_1: 0.361 
epoch: 25, Seg_Loss: 0.305, Overall_Acc: 0.994, Mean_IOU: 0.635, Class_0: 0.997, Class_1: 0.416 
epoch: 26, Seg_Loss: 0.304, Overall_Acc: 0.995, Mean_IOU: 0.635, Class_0: 0.997, Class_1: 0.411 
epoch: 27, Seg_Loss: 0.340, Overall_Acc: 0.997, Mean_IOU: 0.608, Class_0: 0.998, Class_1: 0.326 
epoch: 28, Seg_Loss: 0.277, Overall_Acc: 0.997, Mean_IOU: 0.658, Class_0: 0.998, Class_1: 0.461 
epoch: 29, Seg_Loss: 0.263, Overall_Acc: 0.996, Mean_IOU: 0.668, Class_0: 0.998, Class_1: 0.491 
epoch: 30, Seg_Loss: 0.269, Overall_Acc: 0.996, Mean_IOU: 0.668, Class_0: 0.998, Class_1: 0.477 
epoch: 31, Seg_Loss: 0.263, Overall_Acc: 0.996, Mean_IOU: 0.670, Class_0: 0.998, Class_1: 0.489 
epoch: 32, Seg_Loss: 0.269, Overall_Acc: 0.997, Mean_IOU: 0.667, Class_0: 0.998, Class_1: 0.472 
epoch: 33, Seg_Loss: 0.265, Overall_Acc: 0.996, Mean_IOU: 0.665, Class_0: 0.998, Class_1: 0.485 
epoch: 34, Seg_Loss: 0.255, Overall_Acc: 0.997, Mean_IOU: 0.680, Class_0: 0.998, Class_1: 0.502 
epoch: 35, Seg_Loss: 0.265, Overall_Acc: 0.994, Mean_IOU: 0.658, Class_0: 0.997, Class_1: 0.484 
epoch: 36, Seg_Loss: 0.241, Overall_Acc: 0.997, Mean_IOU: 0.685, Class_0: 0.998, Class_1: 0.529 
epoch: 37, Seg_Loss: 0.229, Overall_Acc: 0.997, Mean_IOU: 0.695, Class_0: 0.998, Class_1: 0.553 
